RecordNum;n_d_t_max
1;20
2;5
3;7
4;15
5;8
6;15
7;20
8;18
9;5
10;4
11;9
12;9
13;6
14;39
15;7
16;4
17;6
18;11
19;19
20;6
21;8
22;8
23;8
24;13
25;4
26;9
27;10
28;5
29;4
30;14
31;11
32;3
33;5
34;10
35;3
37;8
38;7
39;6
40;4
41;7
42;3
43;19
44;3
45;3
46;18
47;7
48;13
49;5
50;5
51;8
52;11
53;6
54;4
55;13
56;6
57;3
58;11
59;7
60;12
61;8
62;11
63;9
64;6
65;16
66;11
67;15
68;4
69;9
70;6
71;18
72;13
73;21
74;7
75;7
76;7
77;18
78;4
79;10
80;9
81;11
82;4
83;11
84;8
85;5
86;11
87;6
88;6
89;10
90;5
91;11
92;7
93;16
94;6
95;17
96;7
97;5
98;15
99;5
100;20
101;7
102;14
103;7
104;19
105;8
106;10
107;19
108;5
109;7
110;5
111;16
112;9
113;5
114;7
115;6
116;6
117;8
118;12
119;10
120;6
121;13
122;8
123;7
124;15
125;11
126;12
127;3
129;2
130;7
131;7
133;11
134;7
135;7
136;8
137;17
138;6
139;14
140;12
141;23
142;5
143;16
144;17
145;12
146;6
147;10
148;6
149;7
150;10
151;5
152;5
153;7
154;6
155;5
156;4
157;4
158;3
159;5
160;6
161;6
162;9
163;13
164;7
165;22
166;4
167;4
169;6
170;3
171;4
172;19
173;8
174;8
175;12
176;14
177;10
178;9
179;16
180;9
181;6
182;3
183;7
184;6
185;12
186;6
187;6
188;11
189;11
190;15
191;5
192;20
193;14
194;12
195;8
196;8
197;11
198;4
199;6
200;7
201;14
202;13
203;11
204;3
205;12
206;8
207;4
208;13
209;13
210;4
211;8
212;5
213;8
214;5
215;33
216;8
217;6
218;8
219;18
220;9
221;5
222;4
223;11
224;10
225;6
226;5
227;4
228;8
229;6
230;7
231;4
232;6
233;6
234;11
235;15
236;16
237;6
238;10
239;10
240;3
241;11
242;9
243;12
244;25
245;7
246;10
247;9
248;12
249;3
250;18
251;14
252;6
253;11
254;9
255;9
256;12
257;8
258;25
259;17
260;15
261;14
262;3
263;23
264;5
265;6
266;13
267;5
268;26
269;6
270;17
271;8
272;7
273;5
274;2
275;7
276;9
277;9
278;25
279;11
280;5
281;18
282;3
283;10
284;7
285;6
286;8
287;7
288;9
289;3
290;13
291;8
292;6
293;5
294;8
295;10
296;4
297;18
299;8
300;6
301;8
302;6
303;8
304;18
305;19
306;17
307;28
308;7
309;5
310;9
311;4
312;10
313;14
314;21
315;11
316;4
317;12
318;3
319;10
320;16
321;2
322;15
323;8
324;10
325;23
326;14
327;9
328;11
330;6
331;19
332;7
333;43
334;13
335;15
336;6
337;7
338;2
339;3
340;5
341;13
342;16
343;9
344;4
345;26
346;8
347;14
348;22
349;9
350;8
351;5
352;7
353;2
354;6
355;16
356;18
357;5
358;15
359;23
360;22
361;5
362;10
363;5
364;9
365;3
366;6
367;25
368;19
369;15
370;15
371;11
372;13
373;16
374;9
375;14
376;3
377;14
378;8
379;8
380;6
381;3
382;5
383;13
384;4
385;7
386;12
387;7
388;7
389;6
390;3
391;5
392;8
393;13
394;4
395;9
396;4
397;15
398;5
399;3
400;11
401;10
402;6
403;5
404;10
