QueryNumber;Ranking;RecordNum;Score
1;1;437;1.0196950923674302
1;2;484;0.7805730774877813
1;3;856;0.777165321911057
1;4;498;0.7695267873473303
1;5;526;0.6794985709887292
1;6;441;0.6548200607460302
1;7;741;0.6258344132184772
1;8;975;0.6133028806183134
1;9;957;0.6094390633095054
1;10;499;0.5990168929409805
1;11;827;0.5775040681264101
1;12;568;0.5702121867098815
1;13;533;0.5601084655661381
1;14;754;0.557261182767071
1;15;481;0.5345408331954937
1;16;302;0.5244981365823915
1;17;925;0.5124035772052221
1;18;392;0.5082619211815198
1;19;505;0.4801144896509575
1;20;592;0.4759823545297805
1;21;151;0.4657205956325592
1;22;40;0.46204386714011636
1;23;1107;0.4547275169567102
1;24;1026;0.45248487028620454
1;25;139;0.4459625872266529
1;26;1188;0.443647102058173
1;27;27;0.4434730925253773
1;28;439;0.44241146914356083
1;29;960;0.43178919879279587
1;30;461;0.4278519366788912
1;31;11;0.42487041774308076
1;32;311;0.4206297948947515
1;33;53;0.41585894495108944
1;34;767;0.4102524159108881
1;35;52;0.40122751272775675
1;36;265;0.39349590755095176
1;37;1064;0.3851531587139643
1;38;711;0.3810684735776134
1;39;847;0.3808877595088673
1;40;943;0.3641025744307344
1;41;1180;0.36407971434533837
1;42;926;0.3547250986183195
1;43;463;0.34925996054442754
1;44;875;0.3454401399941299
1;45;511;0.34453531180652675
1;46;701;0.34192220346063196
1;47;980;0.3378869529654405
1;48;950;0.3321546394145819
1;49;398;0.33049098200611654
1;50;867;0.3237608477933382
1;51;1111;0.31922359853851023
1;52;501;0.31879768114468937
1;53;789;0.31775415935026086
1;54;967;0.3137122697802637
1;55;189;0.3103825390810449
1;56;1031;0.3079463254200971
1;57;1148;0.30477273796837273
1;58;490;0.3032042078407329
1;59;527;0.2987646505236173
1;60;564;0.29321803103533656
1;61;522;0.29078701292927256
1;62;246;0.2901272235264512
1;63;861;0.2824783610661891
1;64;43;0.2754549082369968
1;65;386;0.273942000740669
1;66;1185;0.2686925338794866
1;67;742;0.2556605401367236
1;68;990;0.25490909838578174
1;69;1102;0.24922939891212165
1;70;106;0.24710115686250878
1;71;277;0.24561414658599234
1;72;266;0.24429324158800297
1;73;171;0.2426910006106691
1;74;909;0.2412181909720069
1;75;823;0.24043309499570834
1;76;322;0.23913500816281427
1;77;28;0.23613943841102455
1;78;96;0.23423303042797403
1;79;552;0.23404602302163588
1;80;726;0.23271982528183166
1;81;1238;0.23244262611256106
1;82;850;0.23178159904143616
